"","nombres","omega","alfa","beta","a","b"
"460","NS-PB",0.257052972667032,0.312394030859552,0.686605968334602,0.0820747940921035,0.646186997435243
"461","CLNE",4.2825167200119,0.222782615050684,0.702429083020058,0.0577341768696636,0.927861505482252
"462","VNOM",0.498169203816827,0.0608691101697405,0.905033081606809,0.0187174812835424,0.933182718724392
"463","RRC",0.292165719011179,0.0277272287027569,0.958886217911242,0.0354267406559211,0.887302120271614
"464","LBRT",0.550916732995986,0.0362479565002801,0.949361839458423,0.0348852872158594,0.938681697259298
"465","WHD",0.630383762061872,0.0573709906394713,0.909005809661714,0.136735362264154,0.246310463246695
"466","INT",0.594252386302584,0.125270449670843,0.847359080603593,0.0194432543977922,0.963857979053186
"467","MUR",1.34551183905895,0.080927646981792,0.872063496343889,0.0368737619771574,0.927736543471414
"468","CVI",1.23697712992002,0.0871029442022456,0.869798846486393,0.0396121439723676,0.929513672132338
"469","MTDR",1.50004698026104,0.0886703612684932,0.869435415375115,0.00540114889402865,0.983598533226524
"470","AR",0.25144719914767,0.0535745064930323,0.936830431841653,0.0495581078508675,0.808700823319642
"471","PAGP",0.811775415394346,0.200838457866756,0.755197973976302,0.0889438564841937,0.691305254520799
"472","DKL",0.5720805423931,0.230875451075787,0.766522679950603,0.0431433445811645,0.78170797978009
"473","BSM",0.216507387559874,0.0911364225917952,0.884099959664906,1.32978575950628e-07,0.915845137210492
"474","NS",0.832146897346694,0.180955731899707,0.758902490214796,0.0386085082221402,0.767293079788948
"475","EURN",0.23702177760576,0.0935880931863513,0.875704070907024,0.0100085312930181,0.921603641845097
"476","HEP",1.28838958315038,0.330145078139442,0.544674163725383,1.72990822389812e-08,0.924912838550853
"477","DK",1.06062351151586,0.0807759298660617,0.881569165384898,0.0196495838469513,0.959920853204481
"478","CLB",0.508401286939752,0.0342081443841844,0.942443951798483,0.0361959449992492,0.930022972097944
"479","RTLR",0.451223765730645,0.126163218254235,0.842065378851365,0.0448878425533261,0.811393702982025
"480","CEQP",0.373077646464618,0.124655391548708,0.868100010411809,0.0246490368537439,0.800277656524442
"481","AROC",0.912752748096689,0.171575292314547,0.761916819816583,0.0107719918477619,0.903552518086276
